id,state,district,vote,name,party
412539,IN,5,Yea,Susan Brooks,Republican
412540,IN,6,Yea,Luke Messer,Republican
412541,KY,6,Yea,Garland â€œAndyâ€ù Barr,Republican
412543,MA,4,Nay,Joseph Kennedy III,Democrat
412544,MD,6,Nay,John Delaney,Democrat
412546,MI,5,Nay,Daniel Kildee,Democrat
412547,MI,11,Yea,Kerry Bentivolio,Republican
412548,MO,2,Yea,Ann Wagner,Republican
412549,MT,0,Yea,Steve Daines,Republican
412550,NC,8,Yea,Richard Hudson,Republican
412551,NC,9,Yea,Robert Pittenger,Republican
412552,NC,11,Yea,Mark Meadows,Republican
412553,NC,13,Yea,George Holding,Republican
412555,ND,0,Yea,Kevin Cramer,Republican
412557,NH,2,Nay,Ann Kuster,Democrat
412558,NM,1,Nay,Michelle Lujan Grisham,Democrat
412559,NV,4,Nay,Steven Horsford,Democrat
412560,NY,6,Nay,Grace Meng,Democrat
412561,NY,8,Nay,Hakeem Jeffries,Democrat
412562,NY,18,Nay,Sean Maloney,Democrat
412563,NY,27,Yea,Chris Collins,Republican
412564,OH,2,Yea,Brad Wenstrup,Republican
412565,OH,3,Nay,Joyce Beatty,Democrat
412566,OH,14,Yea,David Joyce,Republican
412567,OK,1,Yea,Jim Bridenstine,Republican
412568,OK,2,Yea,Markwayne Mullin,Republican
412569,PA,4,Yea,Scott Perry,Republican
412570,PA,12,Yea,Keith Rothfus,Republican
412571,PA,17,Nay,Matthew Cartwright,Democrat
412572,SC,7,Yea,Tom Rice,Republican
412574,TX,14,Yea,Randy Weber,Republican
412575,TX,16,Nay,Beto O'Rourke,Democrat
412576,TX,20,Nay,Joaquin Castro,Democrat
412577,TX,23,Nay,Pete Gallego,Democrat
412578,TX,25,Yea,Roger Williams,Republican
412579,TX,33,Nay,Marc Veasey,Democrat
412580,TX,34,Nay,Filemon Vela,Democrat
412581,UT,2,Yea,Chris Stewart,Republican
412583,WA,6,Nay,Derek Kilmer,Democrat
412584,WA,10,Nay,Denny Heck,Democrat
412585,WI,2,Nay,Mark Pocan,Democrat
412595,IL,2,Nay,Robin Kelly,Democrat
412596,MO,8,Yea,Jason Smith,Republican
