name  ,operation  ,dod  , age  ,unit  ,cod  
"Piestewa, Spec. Lori",Iraqi Freedom,3/23/03,23,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Plite, Senior Airman Jason",Enduring Freedom,3/23/03,21,"38th rescue Squadron, Moody AFB, GA",helicopter accident
"Pokorney Jr., 2nd Lt. Frederick E.",Iraqi Freedom,3/23/03,31,"1st Battalion, 10th Marine Regiment, 2nd Marine Expeditionary Brigade, HDQ Battery",hostile action
"Reiss, Sgt. Brendon C.",Iraqi Freedom,3/23/03,23,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Rosacker, Cpl. Randal Kent",Iraqi Freedom,3/23/03,21,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Sloan, Pvt. Brandon U.",Iraqi Freedom,3/23/03,19,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Slocum, Lance Cpl. Thomas J.",Iraqi Freedom,3/23/03,22,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Stein, Lt. Col. John",Enduring Freedom,3/23/03,39,"41st rescue Squadron, Moody AFB, GA",helicopter accident
"Teal, Staff Sgt. John",Enduring Freedom,3/23/03,29,"41st Rescue Squadron, Moody AFB, GA",helicopter accident
"Walters, Sgt. Donald Ralph",Iraqi Freedom,3/23/03,33,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Williams, Lance Cpl. Michael J.",Iraqi Freedom,3/23/03,31,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade, Camp Lejeune, NC",hostile action
"James, Cpl. Evan T.",Iraqi Freedom,3/24/03,20,"Engineering Company C, 6th Engineer Support Battalion, 4th Force Service Support Group",non-combat
"Korthaus, Sgt. Bradley S.",Iraqi Freedom,3/24/03,28,"Engineering Company C, 6th Engineer Support Battalion, 4th Force Service Support Group",non-combat
"Sanders, Spec. Gregory P.",Iraqi Freedom,3/24/03,19,"3rd Battalion, 69th Armor, 3rd Infantry Division",hostile action
"Johnson Jr., Hospital Corpsman 3rd Class Michael Vann",Iraqi Freedom,3/25/03,25,"Naval Medical Center San Diego, Third Marine Division Detachment, San Diego.",hostile action
"Martinez Flores, Pfc. Francisco A.",Iraqi Freedom,3/25/03,21,"1st Tank Battalion, 1st Marine Div., Marine Corps Air-Ground Combat Ctr., Twenty-nine Palms, CA",vehicle accident
"May, Staff Sgt. Donald C.",Iraqi Freedom,3/25/03,31,"1st Tank Battalion. 1st Marine Div., Marine Corps Air-Ground Combat Center, Twenty-nine Palms, CA",vehicle accident
"O'Day, Lance Cpl. Patrick T.",Iraqi Freedom,3/25/03,20,"1st Tank Battalion, 1st Marine Div., Marine Corps Air-Ground Combat Ctr., Twenty-nine Palms, CA",vehicle accident
"Rodriguez, Cpl. Robert M.",Iraqi Freedom,3/25/03,21,"1st Tank Battalion, 1st Marine Division, Marine Corps Air-Ground Combat Center, Twentynine Palms, Calif.",vehicle accident
"Stone, Maj. Gregory",Iraqi Freedom,3/25/03,40,"124th Air Support Operations Squadron, Idaho Air National Guard",hostile action
"Nave, Maj. Kevin G..",Iraqi Freedom,3/26/03,36,"3rd Battalion, 5th Marine Regiment, 1st Marine Division",vehicle accident
"Menusa, Gunnery Sgt. Joseph",Iraqi Freedom,3/27/03,33,"1st Combat Engineer Battalion, 1st Marine Division, Camp Pendleton, Calif",hostile action
"Suarez Del Solar, Lance Cpl. Jesus A.",Iraqi Freedom,3/27/03,20,"1st Light Armored Reconnaissance Battalion, 1st Marine Division, Camp Pendleton, Calif.",hostile action
"Padilla-Ramirez, Sgt. Fernando",Iraqi Freedom,3/28/03,26,"Marine Wing Support Squadron-371, Marine Wing Support Group-37, MCAS Yuma, AZ",hostile action
"Solomon, Sgt. Roderic A.",Iraqi Freedom,3/28/03,32,"2-7th Infantry, 3rd Infantry Div., Ft. Stewart, GA",vehicle accident
"Cawley, Staff Sgt. James W.",Iraqi Freedom,3/29/03,41,"F Company, 2nd Battalion, 23rd Marine Regiment, 4th Marine Division",hostile action
"Curtin, Spec. Michael Edward.",Iraqi Freedom,3/29/03,23,"2-7th Infantry, 3rd Infantry Div., Ft. Stewart, GA",IED
"Frazier, Staff Sgt. Jacob L.",Enduring Freedom,3/29/03,24,"169th Air Support Operations Squadron, 182nd Airlift Wing, Peoria, IL",hostile action
"Morales, Sgt. Orlando",Enduring Freedom,3/29/03,33,"A Company, 2nd Battalion, 7th Special Forces Group, Ft. Bragg, NC",hostile action
"Rincon, Pfc. Diego Fernando",Iraqi Freedom,3/29/03,19,"2-7th Infantry, 3rd Infantry Div., Ft. Stewart, GA",IED
"Weldon, Pfc. Michael Russell Creighton",Iraqi Freedom,3/29/03,20,"2-7th Infantry, 3rd Infantry Div., Ft. Stewart, GA",IED
"White, Lance Cpl. William W.",Iraqi Freedom,3/29/03,24,"3rd Amphibious Assault Battalion, 1st Marine Division, Camp Pendleton, CA",vehicle accident
"Williams, Sgt. Eugene",Iraqi Freedom,3/29/03,24,"2-7th Infantry, 3rd Infantry Div., Ft. Stewart, GA",IED
"Contreras, Capt. Aaron J.",Iraqi Freedom,3/30/03,31,"Marine Light Attack Helicopter Squadron (HMLA)-169, Marine Aircraft Group-39, Marine Corps Air Station Camp Pendleton, Calif.",helicopter accident
"Lalush, Sgt. Michael V.",Iraqi Freedom,3/30/03,23,"Marine Light Attack Helicopter Squadron (HMLA)-169, Marine Air Craft Group-39, Marine Corps Air Station Camp Pendleton, CA",helicopter accident
"McGinnis, Sgt. Brian D.",Iraqi Freedom,3/30/03,23,"Marine Light Attack Helicopter Squadron (HMLA)-169, Marine Air Craft Group-39",helicopter accident
"Jeffries, Spec. William A.",Iraqi Freedom,3/31/03,39,"D Company, 1st Battalion, 152nd Infantry Regiment, Indiana Army National Guard",non-combat
"Rowe, Spec. Brandon J.",Iraqi Freedom,3/31/03,20,"C Company, 1st Battalion, 502nd Infantry Regiment, 101st Airborne Division (Air Assault), Fort Campbell, Ky",hostile action
"Butler, Sgt. Jacob L.",Iraqi Freedom,4/1/03,24,"Headquarters Co., 1st Battalion, 41st Infantry Regiment",hostile action
"Maglione, Lance Cpl. Joseph B.",Iraqi Freedom,4/1/03,22,"Bridge Company B, 6th Engineer Support Battalion, 4th Force Service Support Group",hostile action
"Adamouski, Capt. James F.",Iraqi Freedom,4/2/03,29,"2nd Battalion, 3rd Aviation Regiment, Hunter Army Airfield, GA",helicopter accident
"Anderson, Lance Cpl. Brian E.",Iraqi Freedom,4/2/03,26,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Division, Camp Lejeune, N.C.",non-combat
"Boule, Spec. Mathew G.",Iraqi Freedom,4/2/03,22,"2nd Battalion, 3rd Aviation Regiment, Hunter Army Airfield, GA",helicopter accident
"Fernandez, Master Sgt. George A.",Iraqi Freedom,4/2/03,36,Special Operations Command,hostile action
"Gurtner, Pfc. Christian D.",Iraqi Freedom,4/2/03,19,"3rd Light Armored Recon Battalion, 1st Marine Division",non-combat
"Halvorsen, Chief Warrant Officer Erik A.",Iraqi Freedom,4/2/03,40,"2nd Battalion, 3rd Aviation Regiment, Hunter Army Airfield, GA",helicopter accident
"Jamar, Chief Warrant Officer Scott",Iraqi Freedom,4/2/03,32,"2nd Battalion, 3rd Aviation Regiment, Hunter Army Airfield, GA",helicopter accident
"Pedersen, Sgt. Michael F.",Iraqi Freedom,4/2/03,26,"2nd Battalion, 3rd Aviation Regiment, Hunter Army Airfield, GA",helicopter accident
"Smith, Chief Warrant Officer Eric A.",Iraqi Freedom,4/2/03,41,"2nd Battalion, 3rd Aviation Regiment, Hunter Army Airfield, GA",helicopter accident
"White, Lt. Nathan D.",Iraqi Freedom,4/2/03,30,"Strike Fighter Squadron One Nive Five (VFA 195), Carrier Air Wing Five (CVW 5), USS Kitty Hawk (CV 63)",airplane crash
"Bales, Pfc. Chad E.",Iraqi Freedom,4/3/03,20,"1st Transportation Support Battalion, 1st Force Service Support Group, Camp Pendleton, CA",non-combat
"Davis, Staff Sgt. Wilbert",Iraqi Freedom,4/3/03,40,"3rd Battalion, 69th Armor, 3rd Infantry Div., Fort Stewart, GA",vehicle accident
"Evnin, Cpl. Mark A.",Iraqi Freedom,4/3/03,21,"3rd Battalion, 4th Marine Regiment, 1st Marine Division, Twentynine Palms, Calif.",hostile action
"Korn, Capt. Edward J.",Iraqi Freedom,4/3/03,31,"64th Armor, 3rd Infantry Div., Fort Stewart, GA",other-unknown
"Livaudais, Staff Sgt. Nino D.",Iraqi Freedom,4/3/03,23,"3rd Battalion, 75th Ranger Regiment",IED
"Long, Spec. Ryan P.",Iraqi Freedom,4/3/03,21,"A Company, 3rd Battalion, 75th Ranger Regiment",IED
"Oaks Jr., Spec. Donald S.",Iraqi Freedom,4/3/03,20,"C Battery, 3rd Battalion, 13th Field Artillery Regiment (Multiple Launch Rocket System)",hostile action
"Rehn, Sgt. 1st Class Randall S.",Iraqi Freedom,4/3/03,36,"C Battery, 3rd Battalion, 13th Field Artillery Regiment (Multiple Launch Rocket System)",hostile action
"Rippetoe, Capt. Russell B.",Iraqi Freedom,4/3/03,27,"A Company, 3rd Battalion, 75th Ranger Regiment",IED
"Robbins, Sgt. Todd J.",Iraqi Freedom,4/3/03,33,"C Battery, 3rd Battalion, 13th Field Artillery Regiment (Multiple Launch Rocket System)",hostile action
"Silva, Cpl. Erik H.",Iraqi Freedom,4/3/03,22,"3rd Battalion, 5th Marine Regiment, 1st Marine Division",hostile action
"Aitken, Capt. Tristan N.",Iraqi Freedom,4/4/03,31,"1st Battalion, 41st Field Artillery, 3rd Infantry Division, Fort Stewart, GA",hostile action
"Bellard, Pfc. Wilfred D.",Iraqi Freedom,4/4/03,20,"41st Field Artillery Regiment, Fort Stewart, Ga.,",vehicle accident
"Cunningham, Spec. Daniel Francis J.",Iraqi Freedom,4/4/03,33,"41st Field Artillery Regiment, Fort Stewart, Ga.",vehicle accident
"Ford, Capt. Travis A.",Iraqi Freedom,4/4/03,30,"Marine Light Attack Helicopter Squadron (HMLA) - 267, Marine Aircraft Group 39, 3rd Marine Aircraft Wing, Camp Pendleton, Calif.",helicopter accident
"Gooden, Cpl. Bernard G.",Iraqi Freedom,4/4/03,22,"2nd Tank Battalion, 2nd Marine Division, Camp Lejeune, NC",hostile action
"Jones, Pvt. Devon D.",Iraqi Freedom,4/4/03,19,"41st Field Artillery Regiment, Fort Stewart, GA",vehicle accident
"McPhillips, 1st Lt. Brian M.",Iraqi Freedom,4/4/03,25,"2nd Tank Battalion, 2nd Marine Division, Camp LeJeune, NC",hostile action
"Rios, Sgt. Duane R.",Iraqi Freedom,4/4/03,25,"1st Combat Engineer Battalion, 1st Marine Division, Camp Pendleton, CA",hostile action
