name  ,operation  ,dod  , age  ,unit  ,cod  
"Timmons Jr., Spec. David N.",Enduring Freedom,5/5/06,23,"71st Cavalry Regiment, 10th Mountain Division (Light Infantry), Fort Drum N.Y.",helicopter accident
"Torres, Spec. Teodoro",Iraqi Freedom,5/5/06,29,"Army Reserve’s 490th Civil Affairs Battalion, Abilene, Texas, attached to the 2nd Brigade Combat Team, 4th Infantry Division",IED
"Totten, Chief Warrant Officer 3 Eric W.",Enduring Freedom,5/5/06,34,"3rd Battalion, 10th Aviation Regiment, 10th Mountain Division (Light Infantry), Fort Drum N.Y.",helicopter accident
"Vacho, Sgt. Nathan J.",Iraqi Freedom,5/5/06,29,"Army Reserve’s 489th Civil Affairs Battalion, Knoxville, Tenn, attached to the 2nd Brigade Combat Team, 4th Infantry Division",IED
"Wiekamp, Sgt. Jeffery S.",Enduring Freedom,5/5/06,23,"3rd Battalion, 10th Aviation Regiment, 10th Mountain Division (Light Infantry), Fort Drum N.Y.",helicopter accident
"Deraps, Lance Cpl. Leon B.",Iraqi Freedom,5/6/06,19,"7th Engineer Support Battalion, 1st Marine Logistics Group, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Fenton, Sgt. Matthew J.",Iraqi Freedom,5/6/06,24,"Marine Forces Reserve’s Inspector and Instructor Staff, 1st Battalion, 25th Marine Regiment, 4th Marine Division, Fort Devens, Mass.",hostile action
"Kelly Jr., Staff Sgt. Dale J.",Iraqi Freedom,5/6/06,48,"Army National Guard's 3rd Battalion, 172nd Infantry (Mountain), Brewer, Maine",IED
"Palmer, Cpl. Cory L.",Iraqi Freedom,5/6/06,21,"2nd Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Veverka, Staff Sgt. David M.",Iraqi Freedom,5/6/06,25,"Army National Guard's 3rd Battalion, 172nd Infantry (Mountain), Brewer, Maine",IED
"Legaspi, Staff Sgt. Emmanuel L.",Iraqi Freedom,5/7/06,38,"1st Battalion, 36th Infantry Regiment, 1st Brigade Combat Team, 1st Armored Division, Friedberg, Germany",hostile action
"Wagner, Staff Sgt. Gregory A.",Iraqi Freedom,5/8/06,35,"Army National Guard's 1st Battalion, 147th Field Artillery, Yankton, S.D.",IED
"Latimer, Spec. Aaron P.",Iraqi Freedom,5/9/06,26,"562nd Engineer Company, 172nd Stryker Brigade Combat Team, Fort Wainwright, Alaska",non-combat
"Carbonaro, Sgt. Alessandro",Iraqi Freedom,5/10/06,28,"2nd Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Burkart, Spec. Armer N.",Iraqi Freedom,5/11/06,26,"1st Squadron, 71st Cavalry Regiment, 10th Mountain Division, Fort Drum, N.Y.",IED
"Burnett, Lance Cpl. Jason K.",Iraqi Freedom,5/11/06,20,"2nd Tank Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",vehicle accident
"Clark, Pfc. Eric D.",Iraqi Freedom,5/11/06,22,"3rd Battalion, 6th Field Artillery Regiment, 10th Mountain Division, Fort Drum, N.Y.",IED
"GramesSanchez, Lance Cpl. David J.",Iraqi Freedom,5/11/06,22,"2nd Tank Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",vehicle accident
"Licalzi, 2nd Lt. Michael L.",Iraqi Freedom,5/11/06,24,"2nd Tank Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",vehicle accident
"Snowberger III, Pfc. Stephen P.",Iraqi Freedom,5/11/06,18,"3rd Battalion, 6th Field Artillery Regiment, 10th Mountain Division, Fort Drum, N.Y.",IED
"Vahaviolos, Cpl. Steve",Iraqi Freedom,5/11/06,21,"2nd Tank Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",vehicle accident
"Conboy, Lance Cpl. Adam C.",Iraqi Freedom,5/12/06,21,"3rd Battalion, 3rd Marine Regiment, 3rd Marine Division, III Marine Expeditionary Force, Marine Corps Base Kaneohe Bay, Hawaii",non-combat
"Teeters, Spec. Brandon L.",Iraqi Freedom,5/12/06,21,"8th Squadron, 10th Cavalry Regiment, 4th Brigade Combat Team, Fort Hood, Texas",IED
"Gebur, Spec. Ronald W.",Iraqi Freedom,5/13/06,23,"1st Battalion, 22nd Infantry Regiment, 1st Brigade, 4th Infantry Division, Fort Hood, Texas",IED
"James, Lance Cpl. Richard Z.",Iraqi Freedom,5/13/06,20,"3rd Battalion, 8th Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Engeman, Chief Warrant Officer 4 John W.",Iraqi Freedom,5/14/06,45,"1st Battalion, 312th Training Support Battalion, 4th Brigade, 78th Division (Training Support), Fort Bragg, N.C.",IED
"MarinDominguez Jr., Lance Cpl. Jose S.",Iraqi Freedom,5/14/06,22,"3rd Battalion, 3rd Marine Regiment, 3rd Marine Division, III Marine Expeditionary Force, Marine Corps Base Kaneohe Bay, Hawaii",hostile action
"Weeks, Chief Warrant Officer 5 Jamie D.",Iraqi Freedom,5/14/06,47,"1st Battalion, 160th Special Operations Aviation Regiment (Airborne), Fort Campbell, Ky.",hostile action
"West, Master Sgt. Robert H.",Iraqi Freedom,5/14/06,37,"1st Battalion, 312th Training Support Battalion, 4th Brigade, 78th Division (Training Support) , Fort Bragg, N.C.",IED
"Worrell, Maj. Matthew W.",Iraqi Freedom,5/14/06,34,"1st Battalion, 160th Special Operations Aviation Regiment (Airborne), Fort Campbell, Ky.",hostile action
"Yearby, Lance Cpl. Hatak Yuka Keyu M.",Iraqi Freedom,5/14/06,21,"3rd Battalion, 3rd Marine Regiment, 3rd Marine Division, III Marine Expeditionary Force, Marine Corps Base Kaneohe Bay, Hawaii",hostile action
"Dampier, Pfc. Grant A.",Iraqi Freedom,5/15/06,25,"1st Battalion, 8th Infantry Regiment, 3rd Heavy Brigade Combat Team, Fort Carson, Colo.",IED
"Flint Jr., Staff Sgt. Marion J.",Iraqi Freedom,5/15/06,29,"1st Battalion, 8th Infantry Regiment, 3rd Heavy Brigade Combat Team, Fort Carson, Colo.",IED
"Mahaffee, Capt. Shane R.",Iraqi Freedom,5/15/06,36,"Army Reserve's 489th Civil Affairs Battalion, Knoxville, Tenn.",IED
"Halsel, Staff Sgt. Santiago M.",Iraqi Freedom,5/16/06,32,"2nd Battalion, 502nd Infantry Regiment, 2nd Brigade Combat Team, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",IED
"Deal, Petty Officer 3rd Class Lee Hamilton",Iraqi Freedom,5/17/06,23,"Regimental Combat Team-5, I Marine Expeditionary Force (Forward), assigned to 2nd Marine Division Fleet Marine Force Atlantic, Camp Lejeune, N.C.",hostile action
"Allen Jr., Sgt. Lonnie C.",Iraqi Freedom,5/18/06,26,"2nd Battalion, 22nd Infantry, 1st Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Cournoyer, Pfc. Nicholas R.",Iraqi Freedom,5/18/06,25,"2nd Battalion, 22nd Infantry, 1st Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Fulks, Cpl. William B.",Iraqi Freedom,5/18/06,23,"2nd Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Holland, Lt. Col. Daniel E.",Iraqi Freedom,5/18/06,43,"352nd Civil Affairs Command, Fort Bragg, N.C.",IED
"Seidel III, 1st Lt. Robert A.",Iraqi Freedom,5/18/06,23,"2nd Battalion, 22nd Infantry, 1st Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Longsworth, Staff Sgt. Christian",Enduring Freedom,5/19/06,26,"3rd Battalion, 7th Special Forces Group, Fort Bragg, N.C.",hostile action
"Ramirez, Lance Cpl. Benito A.",Iraqi Freedom,5/21/06,21,"3rd Battalion, 5th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Christoff, Sgt. David R.",Iraqi Freedom,5/22/06,25,"3rd Battalion, 3rd Marine Regiment, 3rd Marine Division, III Marine Expeditionary Force, Marine Corps Base Kaneohe Bay, Hawaii",hostile action
"Leusink, Lance Cpl. William J.",Iraqi Freedom,5/22/06,21,"3rd Battalion, 3rd Marine Regiment, 3rd Marine Division, III Marine Expeditionary Force, Marine Corps Base Kaneohe Bay, Hawaii",hostile action
"Freund, Pfc. Steven W.",Iraqi Freedom,5/23/06,20,"1st Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Hermanson, Spec. Michael L.",Iraqi Freedom,5/23/06,21,"164th Engineer Battalion, Army National Guard, Minot, N.D.",IED
"Posivio III, Lance Cpl. Robert G.",Iraqi Freedom,5/23/06,22,"1st Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Blair, Spec. Robert E.",Iraqi Freedom,5/25/06,22,"2nd Battalion, 6th Infantry, 2nd Brigade, 1st Armored Division, Baumholder, Germany",IED
"DiCenzo, Capt. Douglas A.",Iraqi Freedom,5/25/06,30,"2nd Battalion, 6th Infantry, 2nd Brigade, 1st Armored Division, Baumholder, Germany",IED
"Lufkin, Pfc. Caleb A.",Iraqi Freedom,5/25/06,24,"5th Engineer Battalion, Fort Leonard Wood, Mo.",IED
"Lucas, Lance Cpl. Kevin A.",Iraqi Freedom,5/26/06,20,"3rd Battalion, 8th Marines, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Bennett, Cpl. Richard A.",Iraqi Freedom,5/27/06,25,"Marine Light/Attack Helicopter Squadron-169, Marine Aircraft Group-39, 3rd Marine Aircraft Wing, I Marine Expeditionary Force, Camp Pendleton, Calif.",helicopter accident
"Doring, Capt. Nathanael J.",Iraqi Freedom,5/27/06,31,"Marine Light/Attack Helicopter Squadron-169, Marine Aircraft Group-39, 3rd Marine Aircraft Wing, I Marine Expeditionary Force, Camp Pendleton, Calif.",helicopter accident
"Garcia, Spec. J. Adan",Iraqi Freedom,5/27/06,20,"1st Brigade Special Troops Battalion, 1st Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Funkhouser, Capt. James A.",Iraqi Freedom,5/29/06,35,"1st Battalion, 12th Infantry Regiment, 4th Brigade, 4th Infantry Division, Fort Hood, Texas",IED
"Loveless, Cpl. Jeremy M.",Iraqi Freedom,5/29/06,25,"2nd Battalion, 1st Infantry Regiment, 172nd Stryker Brigade Combat Team, Fort Wainwright, Ala.",hostile action
"West, Spec. Bobby R.",Iraqi Freedom,5/30/06,23,"1st Battalion, 22nd Infantry Regiment, 1st Brigade, 4th Infantry Division, Fort Hood, Texas",IED
"Bucklin, Spec. Brock L.",Iraqi Freedom,5/31/06,28,"1st Battalion, 68th Armor Regiment, 3rd Heavy Brigade Combat Team, 4th Infantry Division, Fort Carson, Colo.",non-combat
"Kolasa, Cpl. Alexander J.",Iraqi Freedom,5/31/06,22,"704th Main Support Battalion, 4th Brigade, 4th Infantry Division, Fort Hood, Texas",non-combat
"Mejia, Sgt. Benjamin E.",Iraqi Freedom,5/31/06,25,"4th Squadron, 14th Cavalry Regiment, 172nd Stryker Brigade Combat Team, Fort Wainwright, Ala.",non-combat
"Cummings, Cpl. Ryan J.",Iraqi Freedom,6/3/06,22,"1st Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Harmon, Staff Sgt. Darren",Iraqi Freedom,6/3/06,44,"203rd Military Intelligence Battalion, 205th Military Intelligence Brigade, Army Reserves, Aberdeen Proving Ground, Md.",non-combat
"Stover, Maj. Michael D.",Iraqi Freedom,6/3/06,43,"Marine Wing Support Squadron-371, Marine Wing Support Group-37, 3rd Marine Aircraft Wing, I Marine Expeditionary Force, Marine Corps Air Station Yuma, Ariz.",non-combat
"Tribble, Pfc. Brett L.",Iraqi Freedom,6/3/06,20,"2nd Battalion, 6th Infantry Regiment, 2nd Brigade Combat Team, 1st Armored Division, Baumholder, Germany",IED
"Gionet, Sgt. Daniel R.",Iraqi Freedom,6/4/06,23,"1st Battalion, 66th Armor Regiment, 1st Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Sanders, 1st Lt. Ryan T.",Iraqi Freedom,6/4/06,27,"1st Battalion, 66th Armor Regiment, 1st Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Jaenke, Petty Officer 2nd Class Jaime S.",Iraqi Freedom,6/5/06,29,"Naval Mobile Construction Battalion 25, Fort McCoy, Wis.",IED
"Lawson, Sgt. 1st Class Isaac S.",Iraqi Freedom,6/5/06,35,"49th Military Police Brigade, Army National Guard, Fairfield, Calif.",IED
"Rovinski, Petty Officer 1st Class Gary T.",Iraqi Freedom,6/5/06,44,"Naval Mobile Construction Battalion 25, Fort McCoy, Wis.",IED
"Stanley, Cpl. Derek A.",Enduring Freedom,6/5/06,20,"710th Brigade Support Battalion, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",non-combat
"Anderson, Cpl. Andy D.",Iraqi Freedom,6/6/06,24,"46th Engineer Battalion, Fort Rucker, Ala.",hostile action
"Blakley, Staff Sgt. Richard A.",Iraqi Freedom,6/6/06,34,"38th Main Support Battalion, Army National Guard, Indianapolis, Ind.",hostile action
"Mehrer, Spec. Curtis R.",Enduring Freedom,6/6/06,21,"1st Battalion, 188th Air Defense Artillery, Army National Guard, Grand Forks, N.D.",hostile action
"Pernell, Sgt. Carlos E.",Iraqi Freedom,6/6/06,25,"46th Engineer Battalion, Fort Rucker, Ala.",hostile action
"Smykowski, Sgt. Mark T.",Iraqi Freedom,6/6/06,23,"2nd Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Vanzoest, Sgt. Travis A.",Enduring Freedom,6/6/06,21,"1st Battalion, 188th Air Defense Artillery, Army National Guard, Grand Forks, N.D.",hostile action
"Crombie, Pfc. David N.",Iraqi Freedom,6/7/06,19,"2nd Battalion, 6th Infantry Regiment, Baumholder, Germany",IED
"Love, 1st Lt. Scott M.",Iraqi Freedom,6/7/06,32,"2nd Battalion, 6th Infantry Regiment, Baumholder, Germany",IED
"Vaughan, 2nd Lt. John S.",Iraqi Freedom,6/7/06,23,"2nd Battalion, 1st Infantry Regiment, 172nd Stryker Brigade Combat Team, Fort Wainwright, Ala.",hostile action
"Crabtree, Sgt. 1st Class Daniel B.",Iraqi Freedom,6/8/06,31,"2nd Battalion,19th Special Forces Group, Army National Guard, Columbus, Ohio",IED
"McSwain, Sgt. 1st Class Clarence D.",Iraqi Freedom,6/8/06,31,"2nd Battalion, 502nd Infantry Regiment, 2nd Brigade Combat Team, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",IED
"Santos, Spec. Luis D.",Iraqi Freedom,6/8/06,20,"1st Battalion, 68th Armor Regiment, 3rd Heavy Brigade Combat Team, 4th Infantry Division, Fort Carson, Colo.",IED
"Alday, Hospitalman Zachary M.",Iraqi Freedom,6/9/06,22,"1st Battalion, 7th Marines, 7th Regimental Combat Team, 1st Marine Expeditionary Force (Forward), Camp Pendleton, Calif.",hostile action
"Guerrero, Lance Cpl. Salvador",Iraqi Freedom,6/9/06,21,"1st Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Twentynine Palms, Calif.",hostile action
"Slaven, Pvt. Benjamin J.",Iraqi Freedom,6/9/06,22,"308th Transportation Company, Army Reserve, Lincoln, Neb.",IED
"Velez, Sgt. Jose M.",Iraqi Freedom,6/9/06,35,"773rd Transportation Company, Army Reserve, Fort Totten, N.Y.",IED
"Zoucha, Lance Cpl. Brent B.",Iraqi Freedom,6/9/06,19,"1st Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Twentynine Palms, Calif.",hostile action
"Corpuz, Cpl. Bernard P.",Enduring Freedom,6/11/06,28,"303rd Military Intelligence Battalion, 504th Military Intelligence Brigade, Fort Hood, Texas",IED
"Munier, Lt. Col. Charles E.",Enduring Freedom,6/12/06,50,"Wyoming Army National Guard's training site, Guernsey, Wyo.",non-combat
"Durgin, Sgt. Russell M.",Enduring Freedom,6/13/06,23,"32nd Infantry Battalion, 10th Mountain Division, Fort Drum, N.Y.",hostile action
"Estrella, Cpl. Michael A.",Iraqi Freedom,6/14/06,20,"3rd Battalion, 3rd Marine Regiment, 3rd Marine Division, III Marine Expeditionary Force, Marine Corps Base Kaneohe Bay, Hawaii",hostile action
"Pena Jr., Sgt. Roger P.",Enduring Freedom,6/14/06,29,"10th Sustainment Brigade, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Damon, Capt. Patrick D.",Enduring Freedom,6/15/06,41,"240th Engineer Group, Augusta, Maine",non-combat
"Santos, Spec. Jeremiah S.",Iraqi Freedom,6/15/06,21,"2nd Battalion, 8th Infantry Regiment, 2nd Brigade, 4th Infantry Division, Fort Hood, Texas",IED
"Babineau, Spec. David J.",Iraqi Freedom,6/16/06,25,"1st Battalion, 502nd Infantry Regiment, 2nd Brigade, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",hostile action
"Ewens, 1st Lt. Forrest P.",Enduring Freedom,6/16/06,25,"1st Battalion, 32nd Infantry Regiment, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Koch, Spec. Brent W.",Iraqi Freedom,6/16/06,22,"Company E, 2nd Battalion, 136th Infantry Combined Arms Battalion, Hutchinson, Minn.",IED
"Menchaca, Pfc. Kristian",Iraqi Freedom,6/16/06,23,"1st Battalion, 502nd Infantry Regiment, 2nd Brigade, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",hostile action
"Sanchez, Sgt. Ian T.",Enduring Freedom,6/16/06,26,"1st Battalion, 32nd Infantry Regiment, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Tucker, Pfc. Thomas L.",Iraqi Freedom,6/16/06,25,"1st Battalion, 502nd Infantry Regiment, 2nd Brigade, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",hostile action
"Jones, Spec. Robert L.",Iraqi Freedom,6/17/06,22,"40th Engineer Battalion, Baumholder, Germany",IED
"Ramirez, Sgt. Reyes",Iraqi Freedom,6/17/06,23,"40th Engineer Battalion, Baumholder, Germany",IED
"Leon, Cpl. Christopher D.",Iraqi Freedom,6/20/06,20,"5th Air Naval Gunfire Liaison Company, III Marine Expeditionary Force, Okinawa, Japan",hostile action
"Webb, Lance Cpl. Brandon J.",Iraqi Freedom,6/20/06,20,"1st Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"White, Pfc. Christopher N.",Iraqi Freedom,6/20/06,23,"1st Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Williams, Staff Sgt. Benjamin D.",Iraqi Freedom,6/20/06,30,"1st Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Bradbury, Pfc. Brian J.",Enduring Freedom,6/21/06,22,"71st Cavalry Regiment, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Buzzard, Sgt. Jason J.",Iraqi Freedom,6/21/06,31,"2nd Battalion, 8th Infantry Regiment, 2nd Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Craig, Staff Sgt. Heathe N.",Enduring Freedom,6/21/06,28,"159th Air Ambulance Medical Company, Wiesbaden, Germany",helicopter accident
"Cuaresma, Sgt. Sirlou C.",Iraqi Freedom,6/21/06,25,"68th Engineer Company, 62nd Engineer Battalion, 13th Containment Command (Expeditionary), Fort Hood, Texas",non-combat
"Lybert, Staff Sgt. Patrick L.",Enduring Freedom,6/21/06,28,"3rd Squadron, 71st Calvary, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Monti, Sgt. 1st Class Jared C.",Enduring Freedom,6/21/06,30,"3rd Squadron, 71st Calvary, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Whyte, Lance Cpl. Nicholas J.",Iraqi Freedom,6/21/06,21,"3rd Battalion, 8th Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Baker, Cpl. Riley E.",Iraqi Freedom,6/22/06,22,"3rd Battalion, 8th Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Beyer, Spec. Paul A.",Iraqi Freedom,6/23/06,21,"2nd Battalion, 502nd Infantry Regiment, 2nd Brigade Combat Team, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",IED
"Bievre, Staff Sgt. Mario J.",Iraqi Freedom,6/23/06,34,"2nd Battalion, 502nd Infantry Regiment, 2nd Brigade Combat Team, 101st Airborne Division (Air Assault), Fort Campbell, Ky.",IED
"Buckley, Cpl. Ryan J.",Iraqi Freedom,6/23/06,21,"2nd Battalion, 506th Infantry Regiment, 4th Brigade Combat Team, 101st Airborne (Air Assault), Fort Campbell, Ky.",IED
"Gibbons, Pfc. Devon J.",Iraqi Freedom,6/23/06,19,"10th Cavalry Regiment, 1st Brigade, 4th Infantry Division, Fort Hood, Texas",IED
"Singletary, Spec. Channing G.",Iraqi Freedom,6/23/06,30,"Army National Guard's 122nd Support Center, Savannah, Ga.",non-combat
"Fuerst, III, Staff Sgt. Joseph F.",Enduring Freedom,6/24/06,26,"Army National Guard's 53rd Infantry Brigade, Pinellas Park Fla.",hostile action
"Laymon, Sgt. Benjamin J.",Iraqi Freedom,6/24/06,22,"1st Battalion, 10th Calvary Regiment, 2nd Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Maholic, Master Sgt. Thomas D.",Enduring Freedom,6/24/06,38,"2nd Battalion, 7th Special Forces Group, Fort Bragg, N.C.",hostile action
"Norton, Sgt. Justin D.",Iraqi Freedom,6/24/06,21,"1st Battalion, 10th Calvary Regiment, 2nd Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Sanchez, Staff Sgt. Alberto V.",Iraqi Freedom,6/24/06,33,"1st Battalion, 68th Armor Regiment, 3rd Heavy Brigade Combat Team, 4th Infantry Division, Fort Carson, Colo.",IED
"Davis, Pfc. Justin R.",Enduring Freedom,6/25/06,19,"1st Battalion, 32nd Infantry Regiment, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"King, Cpl. Paul N.",Iraqi Freedom,6/25/06,23,"Marine Forces Reserve’s 1st Battalion, 25th Marine Regiment, 4th Marine Division, Ayer, Mass.",hostile action
"Lisk, Sgt. Terry M.",Iraqi Freedom,6/26/06,26,"1st Battalion, 37th Armor Regiment, 1st Brigade Combat Team, 1st Armored Division, Friedberg, Germany",hostile action
"Plouhar, Staff Sgt. Raymond J.",Iraqi Freedom,6/26/06,30,"3rd Battalion, 5th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Potocki, Pfc. Michael J.",Iraqi Freedom,6/26/06,21,"1st Battalion, 6th Infantry Regiment, 2nd Brigade Combat Team, 1st Armored Division, Baumholder, Germany",hostile action
"Jones, Cpl. Jeremy S.",Iraqi Freedom,6/27/06,25,"1st Battalion, 67th Armored Regiment, 2nd Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Morrow, Cpl. Jason W.",Iraqi Freedom,6/27/06,27,"3rd Battalion, 5th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Wallace, Sgt. 1st Class Terry O.P.",Iraqi Freedom,6/27/06,33,"4th Battalion, 42nd Field Artillery, 1st Brigade, 4th Infantry Division, Fort Hood, Texas",IED
"Griner, Cpl. Aaron M.",Enduring Freedom,6/28/06,24,"2nd Battalion, 87th Infantry Regiment, 3rd Brigade Combat Team, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Page, Pfc. Rex A.",Iraqi Freedom,6/28/06,21,"3rd Battalion, 5th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Clark, Cpl. Ryan J.",Iraqi Freedom,6/29/06,19,"40th Engineer Battalion, 1st Brigade Combat Team, Baumholder, Germany",IED
"Luckey, Sgt. Bryan C.",Iraqi Freedom,6/29/06,25,"562nd Engineer Company, 172nd Stryker Brigade Combat Team, Fort Wainwright, Alaska",hostile action
"Miller, Spec. Kyle R.",Iraqi Freedom,6/29/06,19,"Army National Guard's Headquarters and Headquarters Battery, 1st Battalion, 125th Field Artillery Regiment, New Ulm, Minn.",IED
"Muldoon, Sgt. James P.",Iraqi Freedom,6/29/06,23,"1st Battalion, 68th Combined Arms Regiment, 3rd Heavy Brigade Combat Team, 4th Infantry Division, Fort Carson, Colo.",hostile action
"Rose, Cpl. Christopher D.",Iraqi Freedom,6/29/06,21,"1st Battalion, 67th Armored Regiment, 2nd Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",IED
"Ware Jr., Airman 1st Class Carl Jerome",Iraqi Freedom,7/1/06,22,"15th Security Forces Squadron, Hickam Air Force Base, Hawaii",non-combat
"Flanigan, Chief Warrant Officer 3 William T.",Enduring Freedom,7/2/06,37,"Army National Guard's 4th Squadron, 278th Armored Cavalry Regiment, Jackson, Tenn.",helicopter accident
"Mason, Pfc. Collin T.",Iraqi Freedom,7/2/06,20,"1st Battalion, 66th Armor Regiment, 1st Brigade Combat Team, 4th Infantry Division, Fort Hood, TX",hostile action
"Noyes, Sgt. Justin L.",Iraqi Freedom,7/2/06,23,"9th Engineer Support Battalion, 3rd Marine Logistics Group, III Marine Expeditionary Force, Okinawa, Japan",hostile action
"Pabla, Staff Sgt. Paul S.",Iraqi Freedom,7/3/06,23,"Army National Guard's 139th Field Artillery, Kempton, Ind.",hostile action
"McLochlin, Sgt. Maj. Jeffrey A.",Enduring Freedom,7/5/06,45,"Army National Guard 152nd Infantry Regiment, Marion Ind.",hostile action
"Edgin, Pfc. Kevin F.",Enduring Freedom,7/6/06,31,"87th Infantry Regiment, 3rd Brigade Combat Team, 10th Mountain Division, Fort Drum, N.Y.",hostile action
"Flores, Staff Sgt. Omar D.",Iraqi Freedom,7/8/06,27,"54th Engineer Battalion, 130th Engineer Brigade, Warner Barracks, Bamberg, Germany",IED
"Linden, Spec. Troy C.",Iraqi Freedom,7/8/06,22,"54th Engineer Battalion, 130th Engineer Brigade, Warner Barracks, Bamberg, Germany",IED
"Micks, Spec. Joseph P.",Iraqi Freedom,7/8/06,22,"54th Engineer Battalion, 130th Engineer Brigade, Warner Barracks, Bamberg, Germany",IED
"Montoya, Spec. Damien M.",Iraqi Freedom,7/9/06,21,"3rd Battalion, 67th Armor Regiment, 4th Brigade Combat Team, 4th Infantry Division, Fort Hood, Texas",non-combat
"Dreasky, Sgt. Duane J.",Iraqi Freedom,7/10/06,31,"Army National Guard's 1st Battalion, 119th Field Artillery, Lansing, Mich",IED
"Hernandez Jr., Sgt. Irving",Iraqi Freedom,7/12/06,28,"1st Battalion, 17th Infantry Regiment, 172nd Stryker Brigade Combat Team, Fort Wainwright, Alaska",hostile action
"Tharp, Petty Officer 1st Class Jerry A.",Iraqi Freedom,7/12/06,44,"Naval Mobile Construction Battalion 25, Rock Island, Ill.",IED
"Floyd, Sgt. Alkaila T.",Iraqi Freedom,7/13/06,23,"54th Engineer Battalion, 130th Engineer Brigade, Bamberg, Germany",IED
