created,id,option__id,option__key,option__value,option__vote,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,vote__category,vote__category_label,vote__chamber,vote__chamber_label,vote__congress,vote__created,vote__id,vote__link,vote__missing_data,vote__number,vote__question,vote__question_details,vote__related_amendment,vote__related_bill,vote__required,vote__result,vote__session,vote__source,vote__source_label,vote__total_minus,vote__total_other,vote__total_plus,vote__vote_type,voter_type,voter_type_label
2013-09-29T00:16:00,29862552,436877,+,Yea,113830,C001053,4/28/49,1003609,Tom,male,Male,400077,Cole,https://www.govtrack.us/congress/members/tom_cole/400077,,Rep. Tom Cole [R-OK4],,,N00025726,46034,"Cole, Tom (Rep.) [R-OK4]",tomcoleok04,reptomcole,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862782,436878,-,Nay,113830,C000714,5/16/29,1824,John,male,Male,400080,Conyers,https://www.govtrack.us/congress/members/john_conyers/400080,,Rep. John Conyers [D-MI13],Jr.,,N00004029,26904,"Conyers, John (Rep.) [D-MI13]",repjohnconyers,JCMI14,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862783,436878,-,Nay,113830,C000754,6/19/54,1201,Jim,male,Male,400081,Cooper,https://www.govtrack.us/congress/members/jim_cooper/400081,,Rep. Jim Cooper [D-TN5],,,N00003132,48891,"Cooper, Jim (Rep.) [D-TN5]",repjimcooper,RepJimCooper,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862560,436877,+,Yea,113830,C001045,9/1/44,1007679,Ander,male,Male,400086,Crenshaw,https://www.govtrack.us/congress/members/ander_crenshaw/400086,,Rep. Ander Crenshaw [R-FL4],,,N00012739,31130,"Crenshaw, Ander (Rep.) [R-FL4]",AnderCrenshaw,RepAnderCrenshaw,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862786,436878,-,Nay,113830,C001038,3/16/62,57880,Joseph,male,Male,400087,Crowley,https://www.govtrack.us/congress/members/joseph_crowley/400087,,Rep. Joseph Crowley [D-NY14],,,N00001127,4295,"Crowley, Joseph (Rep.) [D-NY14]",repjoecrowley,RepJoeCrowley,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862561,436877,+,Yea,113830,C001048,8/24/56,88078,John,male,Male,400089,Culberson,https://www.govtrack.us/congress/members/john_culberson/400089,Abney,Rep. John Culberson [R-TX7],,,N00009738,5488,"Culberson, John (Rep.) [R-TX7]",congculberson,johnculbersontx07,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862788,436878,-,Nay,113830,C000984,1/18/51,43300,Elijah,male,Male,400090,Cummings,https://www.govtrack.us/congress/members/elijah_cummings/400090,E.,Rep. Elijah Cummings [D-MD7],,,N00001971,345,"Cummings, Elijah (Rep.) [D-MD7]",ElijahECummings,ElijahECummings,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862789,436878,-,Nay,113830,D000096,9/6/41,44325,Danny,male,Male,400093,Davis,https://www.govtrack.us/congress/members/danny_davis/400093,K.,Rep. Danny Davis [D-IL7],,,N00004884,233,"Davis, Danny (Rep.) [D-IL7]",,,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862941,436880,0,Not Voting,113830,D000598,4/13/44,85595,Susan,female,Female,400097,Davis,https://www.govtrack.us/congress/members/susan_davis/400097,A.,Rep. Susan Davis [D-CA53],,,N00009604,8168,"Davis, Susan (Rep.) [D-CA53]",RepSusanDavis,,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862790,436878,-,Nay,113830,D000191,5/27/47,6068,Peter,male,Male,400100,DeFazio,https://www.govtrack.us/congress/members/peter_defazio/400100,A.,Rep. Peter DeFazio [D-OR4],,,N00007781,27037,"DeFazio, Peter (Rep.) [D-OR4]",RepPeterDeFazio,PeterDeFazio,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
